mach,beta,p_ratio
1.5,56.6786767937638,1.666193222258367
1.52020202020202,55.3381164711128,1.6574182622241547
1.5404040404040404,54.13286363330563,1.6513221138082543
1.5606060606060606,53.0321488331092,1.647167777087
1.5808080808080809,52.015762989373705,1.644489995560312
1.601010101010101,51.06952565646861,1.6429749247910874
1.621212121212121,50.18299337043574,1.6424003015200137
1.6414141414141414,49.34818524961324,1.6426027332728865
1.6616161616161615,48.55882192194399,1.6434584971165953
1.6818181818181819,47.80984499005439,1.6448716255959834
1.702020202020202,47.09709973053282,1.6467661773859066
1.7222222222222223,46.41711771265854,1.6490810356995445
1.7424242424242424,45.766963199039566,1.651766298722877
1.7626262626262625,45.144121723126844,1.654780708605725
1.7828282828282829,44.546417410558085,1.6580897785828101
1.803030303030303,43.971950407020046,1.6616644017074076
1.8232323232323233,43.41904869479915,1.6654797994335515
1.8434343434343434,42.88623041505795,1.6695147148391623
1.8636363636363638,42.37217399880996,1.6737507850988276
1.8838383838383839,41.8756941953136,1.6781720473881576
1.904040404040404,41.39572261884679,1.6827645455369615
1.9242424242424243,40.93129180257727,1.6875160137393928
1.9444444444444444,40.4815220069413,1.6924156198942888
1.9646464646464648,40.045610214911434,1.6974537555857243
1.9848484848484849,39.6228208807651,1.7026218629027334
2.005050505050505,39.21247809770688,1.7079122906201258
2.025252525252525,38.813958923261694,1.7133181739767502
2.0454545454545454,38.426687656745,1.7188333335633454
2.0656565656565657,38.05013090538984,1.7244521898010672
2.0858585858585856,37.6837933081135,1.7301696902206722
2.106060606060606,37.32721381115736,1.735981247319971
2.1262626262626263,36.97996240955692,1.741882685213283
2.1464646464646466,36.64163728398246,1.747870193628434
2.166666666666667,36.31186227488472,1.7539402880759076
2.186868686868687,35.99028464580745,1.7600897752279254
2.207070707070707,35.676573095734426,1.7663157227154196
2.2272727272727275,35.3704159868355,1.7726154326875043
2.2474747474747474,35.07151975927984,1.7789864185884188
2.2676767676767677,34.77960750913886,1.7854263846965601
2.287878787878788,34.494417708995186,1.7919332080434338
2.308080808080808,34.215703053854725,1.7985049223904328
2.3282828282828283,33.943229417444634,1.8051397039908808
2.3484848484848486,33.67677490606011,1.8118358589058214
2.3686868686868685,33.416128998873326,1.8185918116761588
2.388888888888889,33.161091765095655,1.8254060951822986
2.409090909090909,32.9114731496374,1.8322773415462923
2.4292929292929295,32.66709231997579,1.8392042739516983
2.44949494949495,32.42777706785285,1.8461856992733094
2.4696969696969697,32.19336326020589,1.8532205014233474
2.48989898989899,31.963694334404273,1.8603076353329753
2.5101010101010104,31.738620833446472,1.8674461214984592
2.5303030303030303,31.517999977271447,1.8746350410302166
2.5505050505050506,31.30169526677478,1.8818735311507404
2.570707070707071,31.08957611749781,1.8891607810939353
2.590909090909091,30.881517520289066,1.896496028364158
2.611111111111111,30.67739972652624,1.9038785553181872
2.6313131313131315,30.4771079557407,1.9113076860375897
2.6515151515151514,30.2805321237097,1.9187827834627444
2.6717171717171717,30.08756658927803,1.9263032467629868
2.691919191919192,29.8981099183445,1.9338685089201721
2.712121212121212,29.71206466360253,1.9414780345054883
2.7323232323232327,29.52933715876039,1.9491313176314558
2.7525252525252526,29.349837326088142,1.9568278800630305
2.772727272727273,29.173478496246073,1.9645672694733967
2.7929292929292933,29.00017723944508,1.9723490578313525
2.813131313131313,28.829853207082728,1.9801728399095617
2.8333333333333335,28.662428983053367,1.9880382319009962
2.853535353535354,28.49782994403911,1.9959448701372362
2.8737373737373737,28.335984128109924,2.0038924098977398
2.893939393939394,28.176822111042487,2.0118805243033924
2.9141414141414144,28.020276889809505,2.019908903287262
2.9343434343434343,27.866283772737585,2.0279772526362554
2.9545454545454546,27.714780275873242,2.036085293097954
2.974747474747475,27.565706025134144,2.044232759547487
2.994949494949495,27.419002663856197,2.0524194002097143
3.0151515151515156,27.27461376537797,2.060644975932415
3.0353535353535355,27.132484750332203,2.068909259506614
3.0555555555555554,26.99256280833892,2.0772120350304357
3.075757575757576,26.854796823818685,2.085553097313266
3.095959595959596,26.719137305665043,2.0939322513172023
3.1161616161616164,26.585536320534857,2.1023493116331022
3.1363636363636367,26.453947429532967,2.1108041019887027
3.1565656565656566,26.324325628083635,2.1192964547865216
3.176767676767677,26.196627288796243,2.127826210669453
3.1969696969696972,26.070810107146244,2.136393218112085
3.217171717171717,25.946833049804994,2.14499733303598
3.2373737373737375,25.82465630546355,2.153638418447299
3.257575757575758,25.70424123800607,2.162316344095188
3.2777777777777777,25.585550341898454,2.1710309861496135
3.2979797979797985,25.468547199666453,2.179782226897302
3.3181818181818183,25.353196441346356,2.1885699544546044
3.3383838383838382,25.239463705798464,2.197394062496204
3.358585858585859,25.12731560378118,2.206254449998626
3.378787878787879,25.01671968268977,2.2151510209976126
3.3989898989898992,24.907644392870022,2.224083684358482
3.4191919191919196,24.800059055422945,2.2330523535586764
3.4393939393939394,24.69393383142141,2.242056946481716
3.45959595959596,24.58923969246498,2.251097385221893
3.47979797979798,24.485948392503328,2.2601735958990172
3.5,24.384032440863127,2.2692855084826307
