cone_horizontal_225_A,cone_horizontal_225_B,cone_horizontal_275_A,cone_horizontal_275_B,cone_horizontal_3_A,cone_horizontal_3_B,wedge_horizontal_225_A,wedge_horizontal_225_B,wedge_horizontal_275_A,wedge_horizontal_275_B,wedge_horizontal_3_A,wedge_horizontal_3_B
0.4470588235294118,0.10196078431372549,0.2235294117647059,0.09019607843137255,0.27450980392156865,0.06274509803921569,0.21568627450980393,0.1450980392156863,0.20392156862745098,0.12549019607843137,0.26666666666666666,0.1803921568627451
0.40784313725490196,0.11372549019607843,0.2196078431372549,0.0784313725490196,0.21568627450980393,0.06274509803921569,0.21176470588235294,0.1450980392156863,0.20392156862745098,0.12156862745098039,0.2627450980392157,0.1803921568627451
0.3803921568627451,0.12156862745098039,0.2549019607843137,0.07058823529411765,0.23137254901960785,0.06666666666666667,0.2196078431372549,0.1411764705882353,0.20392156862745098,0.12941176470588237,0.29411764705882354,0.16862745098039217
0.3803921568627451,0.12549019607843137,0.27450980392156865,0.0784313725490196,0.25098039215686274,0.06666666666666667,0.22745098039215686,0.1568627450980392,0.19607843137254902,0.13725490196078433,0.33725490196078434,0.1568627450980392
0.39215686274509803,0.12549019607843137,0.27450980392156865,0.08235294117647059,0.25098039215686274,0.06666666666666667,0.23137254901960785,0.14901960784313725,0.19607843137254902,0.12941176470588237,0.3254901960784314,0.14901960784313725
0.4470588235294118,0.12549019607843137,0.2549019607843137,0.09411764705882353,0.23921568627450981,0.07058823529411765,0.23529411764705882,0.12941176470588237,0.19607843137254902,0.12156862745098039,0.2823529411764706,0.1450980392156863
0.5137254901960784,0.13333333333333333,0.23137254901960785,0.09411764705882353,0.22745098039215686,0.06274509803921569,0.2196078431372549,0.12941176470588237,0.19215686274509805,0.12941176470588237,0.26666666666666666,0.15294117647058825
0.5529411764705883,0.12156862745098039,0.23529411764705882,0.08235294117647059,0.21568627450980393,0.07058823529411765,0.2196078431372549,0.13333333333333333,0.18823529411764706,0.13725490196078433,0.2627450980392157,0.15294117647058825
0.6,0.12549019607843137,0.2627450980392157,0.0784313725490196,0.23137254901960785,0.0784313725490196,0.2235294117647059,0.1450980392156863,0.1843137254901961,0.1450980392156863,0.2627450980392157,0.1450980392156863
0.5490196078431373,0.13333333333333333,0.2823529411764706,0.08235294117647059,0.24705882352941178,0.0784313725490196,0.21176470588235294,0.14901960784313725,0.18823529411764706,0.1450980392156863,0.26666666666666666,0.14901960784313725
0.5058823529411764,0.12549019607843137,0.25098039215686274,0.09411764705882353,0.23529411764705882,0.07058823529411765,0.21568627450980393,0.1450980392156863,0.20392156862745098,0.1411764705882353,0.2549019607843137,0.16470588235294117
0.5019607843137255,0.11764705882352941,0.21176470588235294,0.09803921568627451,0.2627450980392157,0.06666666666666667,0.22745098039215686,0.1450980392156863,0.20784313725490197,0.13725490196078433,0.25882352941176473,0.1803921568627451
0.5098039215686274,0.13333333333333333,0.21176470588235294,0.09411764705882353,0.27450980392156865,0.07058823529411765,0.2235294117647059,0.1450980392156863,0.2,0.13725490196078433,0.2784313725490196,0.17254901960784313
0.4980392156862745,0.1450980392156863,0.2196078431372549,0.09411764705882353,0.24313725490196078,0.07058823529411765,0.21568627450980393,0.1450980392156863,0.2,0.13333333333333333,0.30980392156862746,0.1568627450980392
0.4666666666666667,0.12549019607843137,0.23137254901960785,0.08627450980392157,0.21176470588235294,0.06274509803921569,0.20784313725490197,0.1450980392156863,0.20392156862745098,0.12941176470588237,0.3176470588235294,0.15294117647058825
0.4549019607843137,0.10980392156862745,0.27450980392156865,0.08627450980392157,0.19607843137254902,0.07058823529411765,0.19607843137254902,0.14901960784313725,0.21568627450980393,0.1450980392156863,0.3137254901960784,0.1607843137254902
0.47843137254901963,0.10980392156862745,0.2784313725490196,0.08235294117647059,0.19607843137254902,0.07058823529411765,0.18823529411764706,0.1607843137254902,0.21568627450980393,0.15294117647058825,0.29411764705882354,0.1568627450980392
0.5058823529411764,0.10588235294117647,0.2784313725490196,0.08235294117647059,0.21176470588235294,0.06274509803921569,0.20392156862745098,0.16862745098039217,0.21176470588235294,0.15294117647058825,0.2627450980392157,0.1607843137254902
0.5215686274509804,0.10980392156862745,0.2901960784313726,0.08235294117647059,0.21568627450980393,0.06274509803921569,0.20392156862745098,0.1607843137254902,0.22745098039215686,0.1450980392156863,0.26666666666666666,0.17647058823529413
0.5215686274509804,0.11372549019607843,0.2627450980392157,0.0784313725490196,0.2,0.06274509803921569,0.2235294117647059,0.1450980392156863,0.23529411764705882,0.1450980392156863,0.30196078431372547,0.1803921568627451
0.5019607843137255,0.11372549019607843,0.27058823529411763,0.08235294117647059,0.2235294117647059,0.06666666666666667,0.22745098039215686,0.1450980392156863,0.23137254901960785,0.1450980392156863,0.3058823529411765,0.1803921568627451
0.49411764705882355,0.11372549019607843,0.28627450980392155,0.09411764705882353,0.24705882352941178,0.06666666666666667,0.22745098039215686,0.15294117647058825,0.23137254901960785,0.1450980392156863,0.3176470588235294,0.17254901960784313
